stop_id,station,N_AT_Park_occ,N_AT_Park_f,N_AT_Park_p,N_AT_Park_Tot
8895000,Aalst,899,1498,0,1498
8895125,Aalst Kerrebroek,1,14,0,14
8895745,Appelterre,16,42,0,42
8822160,Baasrode-Zuid,59,114,0,114
8895463,Bambrugge,1,14,0,14
8895455,Burst,95,92,0,92
8895802,Denderleeuw,526,883,0,883
8893401,Dendermonde,976,951,0,951
8895877,Ede,93,157,0,157
8895752,Eichem,22,42,0,42
8895091,Erembodegem,117,222,0,222
8895471,Erpe-Mere,18,56,0,56
8895869,Haaltert,72,127,0,127
8812153,Heizijde,107,122,0,122
8895844,Iddergem,14,14,0,14
8812161,Lebbeke,110,180,0,180
8895067,Lede,368,416,0,416
8895760,Ninove,100,268,0,268
8895778,Okegem,31,100,0,100
8893518,Oudegem,40,104,0,104
8893542,Schellebelle,166,132,0,132
8893526,Schoonaarde,81,149,0,149
8893583,Serskamp,50,108,0,108
8893443,Sint-Gillis,17,0,0,0
8895489,Vijfhuizen,11,28,0,28
8895851,Welle,3,20,0,20
8893534,Wichelen,59,108,0,108
