stop_id,station,N_CA_Park_f,N_CA_Park_p,N_CA_Park_Tot,N_CA_Park_occ
8895000,Aalst,0,631,631,504.8
8895125,Aalst Kerrebroek,7,0,7,22
8895745,Appelterre,58,0,58,67
8822160,Baasrode-Zuid,12,0,12,22
8895463,Bambrugge,15,0,15,1
8895455,Burst,165,0,165,421
8895802,Denderleeuw,0,1115,1115,969
8893401,Dendermonde,817,0,817,928
8895877,Ede,170,0,170,174
8895752,Eichem,8,0,8,6
8895091,Erembodegem,182,0,182,213
8895471,Erpe-Mere,49,0,49,11
8895869,Haaltert,267,0,267,208
8812153,Heizijde,47,0,47,115
8895844,Iddergem,0,25,25,18
8812161,Lebbeke,93,5,98,123
8895067,Lede,397,0,397,407
8895760,Ninove,274,4,278,384
  8895778,Okegem,66,0,66,43
8893518,Oudegem,30,0,30,21
8893542,Schellebelle,60,0,60,117
8893526,Schoonaarde,113,0,113,65
8893583,Serskamp,20,0,20,10
8893443,Sint-Gillis,3,0,3,18
8895489,Vijfhuizen,10,0,10,6
8895851,Welle,35,0,35,7
8893534,Wichelen,27,0,27,30
